t0,interval,date_start,date_end,semi-major axis,eccentricity,inclination,longitude of ascending node (Ω) (rads),longitude of ascending node (Ω) (degs),argument of pericenter (ω) (rads),argument of pericenter (ω) (degs),mean anomaly (rads),mean anomaly (degs),M_dot,Omega_dot,omega_dot,theta,Phi_1,Phi_2,Phi_3,Phi_4,Phi_5,Phi_1_deg,Phi_2_deg,Phi_3_deg,Phi_4_deg,Phi_5_deg
2451544.5,287712000.0,2000-01-01 00:00:00.000,2009-02-12 00:00:00.000,26548.645972837527,0.0010795336263047,2.8345854301724565,-2.419532629214267,-138.62900804816903,0.9302776936392656,53.30098562069411,-2.359789496435113,-135.2059786850338,0.0001459504114174,1.34507383e-08,1.4230423e-09,59.03006393109008,-121.90917229419028,-124.32870492340454,-123.39842722976529,-117.07010703576175,-131.9586032627509,215.11894360970928,76.48993556154073,129.79092118223434,132.37695970604727,359.3289626031192
2451544.5,290304000.0,2000-01-01 00:00:00.000,2009-03-14 00:00:00.000,26549.1611221422,0.0011886915814946,2.8350026795493566,-2.3853268670767336,-136.66916224265995,0.964137541517298,55.24101199906037,-0.9932843248716858,-56.910999671648945,0.0001459461634929,1.34516551e-08,1.4229563e-09,59.54614768626616,-121.50676902296344,-123.89209589004018,-122.92795834852286,-116.73611528880997,-131.55516224874555,238.17495271326516,101.50579047060546,156.74680246966636,151.51327719858546,22.444429988104275
2451544.5,292896000.0,2000-01-01 00:00:00.000,2009-04-13 00:00:00.000,26548.471223967714,0.0011924698717218,2.835622464101751,-2.351119218498687,-134.7092083520712,1.1042605379790955,63.26946830904792,0.2672437836491289,15.311940904202377,0.0001459518524445,1.34554548e-08,1.4228622e-09,60.062231441451374,-121.1040777797732,-123.4551969982719,-122.3509364602928,-116.40183934277583,-131.47021704920655,261.24746139494255,126.53825304287056,189.8077213519191,170.6658780990847,27.311431411584635
2451544.5,295488000.0,2000-01-01 00:00:00.000,2009-05-13 00:00:00.000,26549.09703133115,0.0011307684339113,2.836258305111973,-2.3172176734255756,-132.76679290040937,1.2260298157249383,70.24633399824103,1.546134531409072,88.58698320917705,0.0001459466919749,1.34570959e-08,1.4227348e-09,60.57831519664571,-120.70168371958299,-123.01890139300856,-121.79287157728363,-116.06724837273184,-131.3314261870345,284.30294274497464,151.53614984456544,221.78248384280596,189.83652854579395,35.263562049024586
2451544.5,298080000.0,2000-01-01 00:00:00.000,2009-06-12 00:00:00.000,26548.640451440737,0.0010471228344602,2.8368741543890814,-2.283748305420593,-130.84913937075368,1.201623720652568,68.84796775619917,2.9710514209644567,170.22870713760943,0.000145950456948,1.34604704e-08,1.4226358e-09,61.094398951849186,-120.29987106750194,-122.58361937292254,-121.38199565226996,-115.73237445666075,-130.75598714572143,307.3251118641774,176.4759724934229,245.32394024962286,209.02339060568465,68.23379048331844
2451544.5,300672000.0,2000-01-01 00:00:00.000,2009-07-12 00:00:00.000,26548.779675039812,0.0010805295013511,2.8373447615740233,-2.2500805078014734,-128.92011666167753,1.1934592483293265,68.38017795012605,-1.9031795024280151,-109.04415314493328,0.0001459493088884,1.34622283e-08,1.4225489e-09,61.6104827070618,-126.18076617602375,-128.43084668382522,-127.2373874354959,-121.68060516042081,-136.51138544441613,330.37464238674784,201.4545257250702,269.83470367519567,228.2148757101022,98.4737585513376
2451544.5,303264000.0,2000-01-01 00:00:00.000,2009-08-11 00:00:00.000,26548.934173751317,0.0011944026649755,2.8377570855607606,-2.216155660608692,-126.97636609690493,1.272030028535727,72.88195204900285,-0.5805417105133857,-33.26258984372262,0.0001459480348854,1.34637165e-08,1.4224719e-09,62.12656646228355,-125.77780026715345,-127.99395592776214,-126.72192589922642,-121.34548894593607,-136.2423573345867,353.46288825266856,226.48652215576385,299.36847420476624,247.4156204464789,113.88793381494634
2451544.5,305856000.0,2000-01-01 00:00:00.000,2009-09-10 00:00:00.000,26548.590439584514,0.0011795828154808,2.838229277408842,-2.181559739605539,-124.99416583505624,1.4039335386162193,80.43946647957635,0.6894730962765149,39.50389850446139,0.0001459508693573,1.34662872e-08,1.4223956e-09,62.64265021751445,-125.3734535397417,-127.55501327934725,-126.15107974073102,-121.01033406053062,-136.129933374407,16.630249193289274,251.6360833582321,332.0755498378094,266.6185808634018,120.32935224939047
2451544.5,308448000.0,2000-01-01 00:00:00.000,2009-10-10 00:00:00.000,26548.94421666412,0.0011044255282616,2.838810637318375,-2.146941336047091,-123.01067741767652,1.4840568657759257,85.03019496637344,2.0113580320937676,115.24232632871164,0.0001459479520718,1.34681341e-08,1.422284e-09,63.158733972754455,-124.96899438368631,-127.11593571973339,-125.63187885395747,-120.67511171159212,-135.86198898915535,39.804051820686254,276.7933744030106,1.8235693693832218,285.8254066560394,135.6814346685369
2451544.5,311040000.0,2000-01-01 00:00:00.000,2009-11-09 00:00:00.000,26548.680231464423,0.0010814161275026,2.839532670036333,-2.112375119252055,-121.03017908158672,1.4432105267360011,82.68987213082532,-2.8290507394070055,-162.0926673963863,0.0001459501289142,1.34716125e-08,1.4221612e-09,63.67481772800361,-130.84785078793027,-132.96022590718235,-131.5170153804463,-126.62310054942617,-141.51460772589445,62.97039149405191,301.94021241246446,24.63008454329156,305.030749657225,171.81023785681555
2451544.5,313632000.0,2000-01-01 00:00:00.000,2009-12-09 00:00:00.000,26548.956298106234,0.0011755670653533,2.840221844796491,-2.0782037368752833,-119.07230309126999,1.4440175343587671,82.7361102616447,-1.4284310504643942,-81.8430705170485,0.0001459478524486,1.3474042e-08,1.422032e-09,64.1909014832619,-130.4444202195047,-132.52262395638,-131.0786064220212,-126.28801274575413,-141.01108403320683,86.08526039140088,327.01295730013044,49.74906756177643,324.22986657394085,200.66002033265795
2451544.5,316224000.0,2000-01-01 00:00:00.000,2010-01-08 00:00:00.000,26548.60077169732,0.0012413697724814,2.8408788023345486,-2.0442285792319774,-117.12566995001691,1.55790014324347,89.26110311067723,-0.1412705985914312,-8.094209068575802,0.0001459507841562,1.34773951e-08,1.4219225e-09,64.70698523852934,-130.0415695116386,-132.0857980908706,-130.52789794762714,-125.95311235317466,-140.84795567906497,109.16690572598509,352.04123577596783,81.30233888664497,343.4182456260196,210.0065865439028
2451544.5,318816000.0,2000-01-01 00:00:00.000,2010-02-07 00:00:00.000,26549.065199148165,0.0012118148998074,2.841353628548135,-2.010030700549448,-115.16627583320756,1.6987668706056824,97.33217206235203,1.118933494481172,64.11016678959595,0.0001459469544589,1.3478592e-08,1.4218273e-09,65.2230689938059,-129.6384683230744,-131.64849902362383,-129.94973215301815,-125.61840692197549,-140.76486103653977,132.26290254742253,17.096626714215745,114.42879877656742,2.595454213837911,214.76755886074443
2451544.5,321408000.0,2000-01-01 00:00:00.000,2010-03-09 00:00:00.000,26548.64711858539,0.0011160828255015,2.8418214824472448,-1.9753714574903023,-113.18044748480044,1.7316052796932306,99.21367430899261,2.487558364255864,142.52659556432772,0.0001459504019693,1.34812429e-08,1.4217529e-09,65.7391527490916,-129.2345133117244,-131.2098847692147,-129.47827948952147,-125.2837703967438,-140.355443523275,155.4078198109355,42.22737232613508,141.44104663512826,21.768714780536357,238.22545442955743
2451544.5,324000000.0,2000-01-01 00:00:00.000,2010-04-08 00:00:00.000,26548.91205772115,0.0011095978520004,2.842345839868579,-1.9400978368723656,-111.15941789524705,1.7249596630766375,98.8329085245998,-2.386835601179047,-136.75560633913,0.000145948217254,1.34829781e-08,1.4216532e-09,66.25523650438642,-135.1124467837476,-137.05254462061998,-135.32758495754334,-131.2322511100029,-146.10761928359463,178.62703960532872,67.4676217100805,166.300530234681,40.94587539582153,268.6500603457862
2451544.5,326592000.0,2000-01-01 00:00:00.000,2010-05-08 00:00:00.000,26548.879356008743,0.0012197786367949,2.8430267734348673,-1.9049862095868288,-109.14766983994939,1.7817926921249687,102.08920122601359,-1.04139140170868,-59.66733213912027,0.0001459484869127,1.34858696e-08,1.4215319e-09,66.7713202596904,-134.70722543855135,-136.61221164813816,-134.8304189560132,-130.89725301937767,-145.76756214368675,201.84451245368746,92.69684261373914,194.78604383975198,60.13985213358774,288.1338992557994
2451544.5,329184000.0,2000-01-01 00:00:00.000,2010-06-07 00:00:00.000,26548.67606904456,0.0012432759414877,2.8437835515814407,-1.8700914599844505,-107.1483479605673,1.9152138113226247,109.73366825395117,0.2274465756420085,13.031728848990124,0.0001459501632382,1.34893517e-08,1.4214006e-09,67.28740401500349,-134.3022391030268,-136.17233056301126,-134.2571167516886,-130.5620561830579,-145.65815491694804,225.04852023971307,117.90017227914541,227.633840533098,79.34521616084749,294.40247159615683
2451544.5,331776000.0,2000-01-01 00:00:00.000,2010-07-07 00:00:00.000,26549.054236639517,0.0011623485101217,2.8444677031227332,-1.8357833343137249,-105.18263715663026,2.044788297382675,117.15773943776875,1.499755914260182,85.92968418689259,0.0001459470448545,1.34915369e-08,1.4212696e-09,67.80348777032573,-133.89821466332234,-135.73399799763607,-133.68920970025337,-130.22664799469487,-145.53992955841153,248.19741545491706,143.01477829828673,260.17251773605676,98.56268976817864,301.1762856717196
2451544.5,334368000.0,2000-01-01 00:00:00.000,2010-08-06 00:00:00.000,26548.578244092892,0.0010779404452645,2.8450424722646908,-1.8013880745562896,-103.21193393727307,2.038077943609295,116.7732644875144,2.9085199227089533,166.64591620093944,0.0001459509699244,1.34947085e-08,1.4211766e-09,68.31957152565711,-133.49393325955225,-135.29532133410854,-133.25724339049924,-129.89115711043968,-145.01233131404902,271.3610336265674,168.14909968929442,284.9223641768085,117.78490150111338,331.4054383522034
2451544.5,336960000.0,2000-01-01 00:00:00.000,2010-09-05 00:00:00.000,26548.936560759434,0.0011016682714421,2.8454410905866467,-1.7666115412369556,-101.21938535197916,2.0212859055094863,115.81115157497248,-1.9553571746757847,-112.03371354954736,0.0001459480152022,1.34957467e-08,1.4210972e-09,68.83565528099763,-139.37199337239852,-141.13860491363548,-139.11731900812597,-135.8387702899246,-150.73568571263783,294.5729974362839,193.3536120843046,309.1647636592779,137.01176814024166,3.4813866554286506
2451544.5,339552000.0,2000-01-01 00:00:00.000,2010-10-05 00:00:00.000,26548.792730800375,0.0012070703302762,2.8458887614366692,-1.731013391756278,-99.1797616282605,2.0941700817262285,119.98710726547957,-0.624669250957541,-35.79091167146556,0.0001459492012293,1.34978386e-08,1.4210197e-09,69.35173903634725,-138.9649906336821,-140.69600402543838,-138.60183394371214,-135.50296385016955,-150.44054105412962,317.8925366149997,218.71277498673953,338.69988225222005,156.25205987152094,20.391929933779466
2451544.5,342144000.0,2000-01-01 00:00:00.000,2010-11-04 00:00:00.000,26548.79890989594,0.001185748623557,2.8464661505601914,-1.6949068222457122,-97.11100758260935,2.2256329675566846,127.51937578617492,0.648228850633482,37.14077729991476,0.0001459491502759,1.35001987e-08,1.4209156e-09,69.86782279170603,-138.5566905874676,-140.25159740971333,-138.02596444215663,-135.1668769429762,-150.3183099568748,341.2864060380871,244.17539845547708,11.69477424165234,175.50842120330526,27.395255931734937
2451544.5,344736000.0,2000-01-01 00:00:00.000,2010-12-04 00:00:00.000,26548.68899880675,0.0010959320359111,2.847309516009361,-1.6593091591056408,-95.07141172415483,2.3028799051531244,131.94529929076134,1.9750344157651352,113.16113641642852,0.0001459500566171,1.35038355e-08,1.420766e-09,70.38390654707395,-138.1492079323353,-139.80851709144093,-137.5056371862878,-134.830589614124,-150.0357751251116,4.633442401954198,269.56203067779916,41.50732996856095,194.77626585026428,43.58330935720369
2451544.5,347328000.0,2000-01-01 00:00:00.000,2011-01-03 00:00:00.000,26549.013477616605,0.0010325533177648,2.848114164387999,-1.6244692618498535,-93.0752326527288,2.2642593903655106,129.7325067908085,-2.86635171204487,-164.22985570026887,0.0001459473809496,1.35065718e-08,1.4206139e-09,70.89999030245099,-144.0265421884312,-145.65101145028103,-143.38675205991552,-140.7776036647315,-155.69272814507727,27.886994739998045,294.811762087269,64.54426887807676,214.0374600454552,79.4637764093859
2451544.5,349920000.0,2000-01-01 00:00:00.000,2011-02-02 00:00:00.000,26548.58103534196,0.0011210578163405,2.848703906858831,-1.5901055893016096,-91.10633924714485,2.2924596985972165,131.34826543345326,-1.4922007043581076,-85.49680254616827,0.0001459509469071,1.35097135e-08,1.4205165e-09,71.41607405783718,-143.62199471073686,-145.2121003000385,-142.91964060144124,-140.44178353213363,-155.26969057443333,51.065857824545674,319.95951857739965,91.30778401085445,233.2785363188359,103.7020437827523
2451544.5,352512000.0,2000-01-01 00:00:00.000,2011-03-04 00:00:00.000,26548.94494916719,0.0012071946226157,2.849052279567704,-1.554925790578732,-89.09068525620424,2.3955917105611513,137.25729445167943,-0.1924401223929931,-11.02600682209951,0.0001459479460316,1.35105216e-08,1.4204458e-09,71.9321578132325,-143.21608982887557,-144.7710156194543,-142.37542390889314,-140.1062382477181,-155.0676423322952,74.32249443895307,345.2318091827492,122.48910363442974,252.50386495136263,115.27855531530258
2451544.5,355104000.0,2000-01-01 00:00:00.000,2011-04-03 00:00:00.000,26548.85412790754,0.0011574049828193,2.8493695393797074,-1.5189255984875702,-87.02802618772043,2.544791752741496,145.80582717178703,1.0621416589145745,60.856234300828945,0.0001459486949446,1.35119624e-08,1.4203903e-09,72.44824156863694,-142.8084753241054,-144.32740092259297,-141.78260916985147,-139.77062412713025,-154.9996273777926,97.67708523059991,10.649059042878434,156.45488621466666,271.73313760604105,119.17552515207717
2451544.5,357696000.0,2000-01-01 00:00:00.000,2011-05-03 00:00:00.000,26548.614568429184,0.0010827677301253,2.8499208096508166,-1.482316873025646,-84.93050072539907,2.5894936349684206,148.3670563596807,2.4219699573893614,138.76865666589023,0.000145950670385,1.35146022e-08,1.4202955e-09,72.96432532405055,-142.39950392876895,-143.88182080179462,-141.29232716682617,-139.43487018271767,-154.61493545275115,121.10942012495434,36.178919399553706,184.54597575923617,290.97042157575106,141.21674886971414
2451544.5,360288000.0,2000-01-01 00:00:00.000,2011-06-02 00:00:00.000,26549.17662415115,0.0010604150243945,2.850650835411507,-1.4462489525949875,-82.86396110890867,2.547225727891175,145.9452836753034,-2.414758681184592,-138.35548097445383,0.0001459460356664,1.35166078e-08,1.4201516e-09,73.48040907947328,-148.27460006483494,-149.72084901742994,-147.17362328953877,-145.38210215964497,-160.25502410629343,144.49120729475544,61.62724618584616,207.57252986114872,310.2191295125722,178.0634729421181
2451544.5,362880000.0,2000-01-01 00:00:00.000,2011-07-02 00:00:00.000,26548.420758548335,0.0011618002235446,2.85146937203498,-1.4109630894964926,-80.84223007688848,2.627649157744302,150.553206779854,-1.0918293870683267,-62.55721582737066,0.0001459522686007,1.35212024e-08,1.4200187e-09,73.99649283490513,-147.86812898863076,-149.27909207812726,-146.65144292038295,-145.04620280963778,-159.98396573035313,167.7802844553953,86.93805437850642,237.49126115836043,329.46474460917307,193.59397388516845
2451544.5,365472000.0,2000-01-01 00:00:00.000,2011-08-01 00:00:00.000,26549.152804473015,0.0012221117322342,2.852046141735986,-1.3761450817224892,-78.84730518038441,2.7441350820332655,157.22735861429203,0.1944118665547349,11.138979440846875,0.0001459462320788,1.35222923e-08,1.4198989e-09,74.51257659034613,-147.46275131382674,-148.83889639554923,-146.09476131351596,-144.71046115038178,-159.82359180509403,191.0067143304932,112.15940915010833,269.38676776440116,348.7013246912611,202.78272294646194
2451544.5,368064000.0,2000-01-01 00:00:00.000,2011-08-31 00:00:00.000,26548.69601756596,0.0011147782150548,2.852407835325636,-1.3409489827617431,-76.83071725460887,2.874575506830251,164.70104443305294,1.4671470721801076,84.06133516089572,0.0001459499987392,1.35245155e-08,1.4198425e-09,75.02866034579625,-147.0565470953439,-148.39749607810563,-145.5229205712754,-144.3746491298204,-159.70312056411987,214.28050166996945,137.44978441536114,302.15082884841286,7.9419361791879055,209.6852166069839
2451544.5,370656000.0,2000-01-01 00:00:00.000,2011-09-30 00:00:00.000,26548.762168154964,0.0010473846109777,2.8526475927525077,-1.3046354362975503,-74.7501043030584,2.899253843441783,166.11500896629687,2.846990706985452,163.1205518232328,0.0001459494532521,1.35253639e-08,1.4197975e-09,75.54474410125552,-146.64787908838136,-147.9525145246789,-145.0532606812371,-144.03860821578624,-159.25954692759936,237.69545369094521,162.9453493878882,329.06035835418515,27.19566229706288,235.10011388287967
2451544.5,373248000.0,2000-01-01 00:00:00.000,2011-10-30 00:00:00.000,26548.882699448455,0.0010718185137392,2.8530740889726376,-1.2678414918433811,-72.6419665741957,2.868825651818737,164.37160200808103,-2.000276411060895,-114.60739621336467,0.0001459484593427,1.35268746e-08,1.4197174e-09,76.06082785672392,-152.52094796453338,-153.78878945637678,-150.91996380455802,-149.9852649808466,-164.93094939551972,261.19339429779393,188.55142772359613,352.923029731679,46.47732744618588,270.15268855096474
2451544.5,375840000.0,2000-01-01 00:00:00.000,2011-11-29 00:00:00.000,26548.743320800535,0.0011628688269877,2.8537177674676086,-1.2310351452839117,-70.53311825704226,2.9667584878505076,169.9827401884482,-0.6923949950959783,-39.6713109749809,0.0001459496086697,1.35296977e-08,1.419603e-09,76.57691161220144,-152.11049487693228,-153.34153002221618,-150.37477153436566,-149.64842458636446,-164.70387577633554,284.7106239054501,214.17750564840935,24.16024583685612,65.7768604195353,283.1630485689784
2451544.5,378432000.0,2000-01-01 00:00:00.000,2011-12-29 00:00:00.000,26548.833911255108,0.0011597585174526,2.8544580396783528,-1.1951594811697899,-68.47759411607414,3.1173437145725633,178.61063813664262,0.5619485502338943,32.19728023189747,0.0001459488616521,1.35325059e-08,1.4194662e-09,77.09299536768812,-151.70185795173956,-152.89701743290937,-149.7796737183368,-149.3115389894,-164.63936753896664,308.123795072197,239.64620095612008,58.256839092764494,85.07898330434364,286.8590983140439
2451544.5,381024000.0,2000-01-01 00:00:00.000,2012-01-28 00:00:00.000,26548.770187848695,0.001055800210695,2.8550898740327817,-1.1597454613043403,-66.44852024219144,-3.0591036555226974,-175.2737285544926,1.859491389657938,106.54100866831627,0.0001459493871208,1.35351299e-08,1.419352e-09,77.60907912318393,-157.57751597353698,-158.73726143484132,-161.79636509036402,-155.2580250509283,-151.8794413908819,331.4733885610185,265.0248683188256,89.75113976433386,104.37042904540067,297.94901349792053
2451544.5,383616000.0,2000-01-01 00:00:00.000,2012-02-27 00:00:00.000,26548.88075484055,0.0009984749240978,2.8554264856015084,-1.124323125806466,-64.4189699176668,-3.081522277695667,-176.55822098750218,-2.9972012362498304,-171.72698118850803,0.0001459484753779,1.35362807e-08,1.4192883e-09,78.12516287868887,-163.4533723971297,-164.57769552293618,-167.65921780063184,-161.20472614551676,-157.5817749414621,354.8116144643209,290.3926445466532,113.83442355915213,123.64955429965448,331.22936767382635
2451544.5,386208000.0,2000-01-01 00:00:00.000,2012-03-28 00:00:00.000,26548.67546152111,0.0010628444332093,2.8556565579182798,-1.0880422828065603,-62.34023073659546,-3.0839754702772786,-176.69877856876133,-1.589860521112194,-91.09229787419844,0.000145950168248,1.35375484e-08,1.4192503e-09,78.64124663420293,-163.04437154260188,-164.13241382540843,-167.21638929568573,-160.86828697698877,-157.05657198018974,18.24563724600921,315.9054065094133,139.20662794065174,142.92609871919922,1.3212807425061328
2451544.5,388800000.0,2000-01-01 00:00:00.000,2012-04-27 00:00:00.000,26549.04150136236,0.0011510903863101,2.855902632554541,-1.0510719786853908,-60.22198834313731,-2.971648903086592,-170.2629403415423,-0.296479307823478,-16.987013051245267,0.0001459471498683,1.35379119e-08,1.419198e-09,79.15733038972617,-162.6338609690478,-163.6849329477332,-166.6565818508198,-160.53171701167702,-156.87213019584422,41.76616055615341,341.54417221301446,171.2812318714714,162.21013724242766,11.889016551365785
2451544.5,391392000.0,2000-01-01 00:00:00.000,2012-05-27 00:00:00.000,26548.559519553815,0.0010979570776293,2.856399340347721,-1.0140749987320232,-58.10221753707924,-2.838899940662305,-162.6569850598899,0.9765693491141256,55.95330210607727,0.000145951124332,1.35406996e-08,1.4191167e-09,79.6734141452585,-162.2232338807972,-163.23730887952925,-166.07620882019154,-160.19508388333315,-156.74875905500636,65.29335966665712,7.191142129577202,204.53415706968735,181.49779474081515,18.95766223508872
2451544.5,393984000.0,2000-01-01 00:00:00.000,2012-06-26 00:00:00.000,26549.05148334558,0.0009941157047973,2.856986055579384,-0.9774906768462036,-56.00609029667369,-2.767851494275119,-158.58620894094264,2.3108105415306484,132.39969128404638,0.0001459470675579,1.35421861e-08,1.4189994e-09,80.18949790079999,-161.81352743119066,-162.79101810803687,-165.55886960231197,-159.85854607749826,-156.4424449789039,88.76781006840065,32.76171977172817,234.17551083078615,200.77999066174925,36.50816600120925
2451544.5,396576000.0,2000-01-01 00:00:00.000,2012-07-26 00:00:00.000,26548.713111607212,0.0009975595612498,2.857580240855491,-0.9415991328310857,-53.9496563043994,-2.815879025866111,-161.33798380153772,-2.519907860170966,-144.38008514963875,0.000145949857779,1.3545112e-08,1.4188971e-09,80.7055816563506,-167.68854933156936,-168.63014846440046,-171.44602749026657,-165.8053510659072,-162.0657096524643,112.15385062977293,58.204194325373464,256.86621052383634,220.05316323857187,74.31883312118771
2451544.5,399168000.0,2000-01-01 00:00:00.000,2012-08-25 00:00:00.000,26548.779217538726,0.0010931184112625,2.8580113520223662,-0.9057352431477692,-51.89480678862259,-2.7729488777183926,-158.87826749880213,-1.158624417045329,-66.38428913750272,0.000145949312661,1.35467085e-08,1.4188166e-09,81.22166541191035,-167.2806393617322,-168.18637460487997,-170.95932348259836,-165.46916887543665,-161.67899845802032,135.52537032275177,83.63056353412867,284.75229603532716,239.31498389999797,96.47575245329062
