t0,interval,date,x,y,z,MEGNO (avg),vx,vy,vz,MEGNO (non-avg)
2451544.50000000000000000000,124416000.00000000000000000000, 2003 12 11    0H  0M  0.000000S,-24483.61113699369161622599,-6801.13755968458735878812,-7683.94093306591275904793,2.02077753481727651064,-1.01195413091054065013,3.73921932577499038786,-0.09931653323938355316,1.98597063710454979635
2451544.50000000000000000000,127008000.00000000000000000000, 2004  1 10    0H  0M  0.000000S,-11786.52889565625446266495,23735.16515650461587938480,-1970.35308673306963100913,2.01681378083619078367,3.28944944932586569308,1.72501631068466787511,1.09076111387740959380,1.98668334205988172947
2451544.50000000000000000000,129600000.00000000000000000000, 2004  2  9    0H  0M  0.000000S,19678.39024602809149655513,16378.44185364708937413525,7061.62794271197344642133,2.00757126385087980580,2.35597944278124948880,-3.03855146080578553125,0.46825161193345299360,1.98723757854664517808
2451544.50000000000000000000,132192000.00000000000000000000, 2004  3 10    0H  0M  0.000000S,19817.23090155541285639629,-17085.32849154713039752096,4351.29767953717237105593,1.99235837094636303313,-2.33799474877382484905,-2.94768748046697881549,-0.94127414927127472932,1.98748449320307862820
2451544.50000000000000000000,134784000.00000000000000000000, 2004  4  9    0H  0M  0.000000S,-11674.53569434154451300856,-23140.50440860220987815410,-5637.03274851177775417455,1.97008957250351723900,-3.31200918039003200377,1.85911420934420368312,-0.78466416153237850128,1.98733152359463871584
2451544.50000000000000000000,137376000.00000000000000000000, 2004  5  9    0H  0M  0.000000S,-24597.16200249019311740994,7829.71508176192128303228,-6250.59787768135265650926,1.94489891900690792248,0.99483591619662137262,3.68097564947916833233,0.68020126080628884324,1.98675895687052150862
2451544.50000000000000000000,139968000.00000000000000000000, 2004  6  8    0H  0M  0.000000S,1636.62746051103749778122,26286.90805116308547439985,3539.77084100321962978342,1.92513623066862060718,3.71702093302862035529,-0.36913135166445187885,1.01602390870030490078,1.98582334926875558878
2451544.50000000000000000000,142560000.00000000000000000000, 2004  7  8    0H  0M  0.000000S,25310.22555147019374999218,2848.77641160704797584913,7485.75278829213311837520,1.91596798731432138574,0.52583450935115194635,-3.82429385814749345229,-0.33733183522453680236,1.98464622463340112368
2451544.50000000000000000000,145152000.00000000000000000000, 2004  8  7    0H  0M  0.000000S,8657.93049697871174430475,-25045.31060051752865547314,-1024.33424337320252561767,1.91625721224827194611,-3.51951395984444248555,-1.16898281778903267991,-1.13745145160731309097,1.98339008756484047602
2451544.50000000000000000000,147744000.00000000000000000000, 2004  9  6    0H  0M  0.000000S,-21869.01239499471557792276,-12804.60536651092843385413,-7860.11596788255883438978,1.92273518284197186823,-1.95100660738144471296,3.35017325732017079432,-0.04158561435902230485,1.98222653789473080010
