t0,interval,date_start,date_end,semi-major axis,eccentricity,inclination,longitude of ascending node (Ω) (rads),longitude of ascending node (Ω) (degs),argument of pericenter (ω) (rads),argument of pericenter (ω) (degs),mean anomaly (rads),mean anomaly (degs),M_dot,Omega_dot,omega_dot
2451544.50000000000000000000,1511136000.00000000000000000000,2000-01-01 00:00:00.000,2047-11-20 00:00:00.000,26558.96772947376666706987,0.01173893264392629997,0.42836163990299958026,-0.81801339154303553958,-46.86871492059844257483,-1.66091619045247673725,-95.16348783787377385579,0.31447540695619191631,18.01811357924880852011,0.00014586533742662179,-0.00000001282251744538,0.00000004156337096287
2451544.50000000000000000000,1513728000.00000000000000000000,2000-01-01 00:00:00.000,2047-12-20 00:00:00.000,26559.83112187557344441302,0.01166676145642150074,0.42799754871041451043,-0.85056525197507182323,-48.73379913865302626164,-1.60295666831826544296,-91.84265183698836665371,1.42376982039057708995,81.57600170647933168766,0.00014585822491901872,-0.00000001282321894370,0.00000004152806082845
2451544.50000000000000000000,1516320000.00000000000000000000,2000-01-01 00:00:00.000,2048-01-19 00:00:00.000,26559.10401112820181879215,0.01157242290790599926,0.42739685694690532358,-0.88293343756508413378,-50.58835956345689766067,-1.55714786406842242705,-89.21800068893141144599,2.54321425236878795317,145.71544305825057108450,0.00014586421471871717,-0.00000001282784206922,0.00000004148137255911
2451544.50000000000000000000,1518912000.00000000000000000000,2000-01-01 00:00:00.000,2048-02-18 00:00:00.000,26559.08609628425256232731,0.01156096933698749947,0.42668212188687021369,-0.91576071326934760375,-52.46922391422353371127,-1.51142781908908285793,-86.59843507246696958646,-2.62221227193937345135,-150.24169616953702188766,0.00014586436230296058,-0.00000001283203679049,0.00000004142140716581
2451544.50000000000000000000,1521504000.00000000000000000000,2000-01-01 00:00:00.000,2048-03-19 00:00:00.000,26559.86296260732706286944,0.01162334664626329950,0.42603583082110851876,-0.94894473343472962590,-54.37052821697695037528,-1.46349766279198267860,-83.85223940524073782399,-1.50890771089831110530,-86.45404350921941727393,0.00014585796263051059,-0.00000001283459308882,0.00000004136309557000
2451544.50000000000000000000,1524096000.00000000000000000000,2000-01-01 00:00:00.000,2048-04-18 00:00:00.000,26559.41653577734541613609,0.01166543858114199930,0.42550511211502517472,-0.98233491582368637207,-56.28364474503622716384,-1.40315223603237360095,-80.39470113899932357526,-0.41094903602389382113,-23.54564535913874223638,0.00014586164015001216,-0.00000001283842527295,0.00000004132112053889
2451544.50000000000000000000,1526688000.00000000000000000000,2000-01-01 00:00:00.000,2048-05-18 00:00:00.000,26560.17447931650895043276,0.01163785973578389948,0.42513437254883379435,-1.01550793805724715035,-58.18431891271289657652,-1.34132781690152236287,-76.85242285195369049688,0.68183245582136264851,39.06612205360424638911,0.00014585539654838651,-0.00000001283934657372,0.00000004128627409033
2451544.50000000000000000000,1529280000.00000000000000000000,2000-01-01 00:00:00.000,2048-06-17 00:00:00.000,26560.31422332962756627239,0.01149883544371490054,0.42467182250459462045,-1.04817366966296909858,-60.05592746842785345507,-1.28381108497388551903,-73.55695686111474174140,1.77483552630450391874,101.69058498712827542931,0.00014585424544801920,-0.00000001284172669348,0.00000004124727873228
2451544.50000000000000000000,1531872000.00000000000000000000,2000-01-01 00:00:00.000,2048-07-17 00:00:00.000,26559.78838590846135048196,0.01140611583517329997,0.42400837050590528543,-1.08093512693763726951,-61.93302070096451927839,-1.23516447028895193228,-70.76971115206890772242,2.87298215533110878894,164.60975211687124897253,0.00014585857695842809,-0.00000001284636753305,0.00000004119523072626
2451544.50000000000000000000,1534464000.00000000000000000000,2000-01-01 00:00:00.000,2048-08-16 00:00:00.000,26560.68352579820930259302,0.01135159005820560001,0.42330090995414870747,-1.11402694209514474544,-63.82904204591675068059,-1.18831361161877424593,-68.08535468370382659486,-2.31391877601388973318,-132.57778000167314758073,0.00014585120350000549,-0.00000001284899480367,0.00000004113221248026
2451544.50000000000000000000,1537056000.00000000000000000000,2000-01-01 00:00:00.000,2048-09-15 00:00:00.000,26560.61662514588533667848,0.01140299512694849943,0.42259693712369011953,-1.14746146929310444129,-65.74469934437519214043,-1.13577814881845795547,-65.07529439047918629058,-1.22722749740344627689,-70.31495610361966441815,0.00014585175455348467,-0.00000001285320460604,0.00000004107466701355
2451544.50000000000000000000,1539648000.00000000000000000000,2000-01-01 00:00:00.000,2048-10-15 00:00:00.000,26560.51780284564301837236,0.01141360930837970016,0.42203770308509058751,-1.18123662448110589018,-67.67987318904707194633,-1.07565728068655119820,-61.63062238585834506921,-0.15241674758549300650,-8.73283636375952987407,0.00014585256854849374,-0.00000001285660023336,0.00000004102938602857
2451544.50000000000000000000,1542240000.00000000000000000000,2000-01-01 00:00:00.000,2048-11-14 00:00:00.000,26561.49702016834271489643,0.01137963553391979979,0.42164427944049698294,-1.21470763465087427946,-69.59762080781425197529,-1.01105371965523049838,-57.92911099724783241527,0.91286619993869722034,52.30338051663292731064,0.00014584450311197567,-0.00000001285727430494,0.00000004099214962995
2451544.50000000000000000000,1544832000.00000000000000000000,2000-01-01 00:00:00.000,2048-12-14 00:00:00.000,26561.12176644010833115317,0.01125622270127790009,0.42114412385638977376,-1.24772193045551582635,-71.48920062101666417220,-0.95312859138721162111,-54.61024561973641766599,1.97960552146354640257,113.42304148065572633186,0.00014584759384477587,-0.00000001286068940161,0.00000004095351831866
2451544.50000000000000000000,1547424000.00000000000000000000,2000-01-01 00:00:00.000,2049-01-13 00:00:00.000,26561.48992967830417910591,0.01116124992707749966,0.42047103154683868054,-1.28072403327794148709,-73.38008182779844901233,-0.89833841406593295531,-51.47099970045375272321,3.04476419037980416959,174.45213772132987628538,0.00014584456151094360,-0.00000001286391642502,0.00000004089704087425
2451544.50000000000000000000,1550016000.00000000000000000000,2000-01-01 00:00:00.000,2049-02-12 00:00:00.000,26562.25868730413276352920,0.01111609683121909942,0.41968625359901601257,-1.31404325750744188639,-75.28913275279884942393,-0.84812248918220922711,-48.59383914027039708117,-2.17297544824947941322,-124.50232217024340286571,0.00014583823006664141,-0.00000001286716225561,0.00000004082960331647
2451544.50000000000000000000,1552608000.00000000000000000000,2000-01-01 00:00:00.000,2049-03-14 00:00:00.000,26561.71282034560135798529,0.01114901501850129942,0.41895266728253388600,-1.34798654055593836176,-77.23393961429566445531,-0.78991544273755953665,-45.25882104107001424609,-1.11976151211320740231,-64.15760870527398651575,0.00014584272574886414,-0.00000001287226894022,0.00000004077334734806
2451544.50000000000000000000,1555200000.00000000000000000000,2000-01-01 00:00:00.000,2049-04-13 00:00:00.000,26562.20165471800646628253,0.01116557513700469975,0.41849456987723571144,-1.38214028135074040726,-79.19080481642158986233,-0.72793414685571700140,-41.70755437828884737428,-0.07523525340291910279,-4.31066249058453276888,0.00014583869976806090,-0.00000001287411520820,0.00000004073400652526
