t0,interval,date_start,date_end,semi-major axis,eccentricity,inclination,longitude of ascending node (Ω) (rads),longitude of ascending node (Ω) (degs),argument of pericenter (ω) (rads),argument of pericenter (ω) (degs),mean anomaly (rads),mean anomaly (degs)
2451544.5,2509056000.0,2000-01-01 00:00:00.000,2079-07-05 00:00:00.000,26559.02356833723,0.0035382751584748357,0.4074675359314479,-1.1259526347888689,-64.51233390503714,1.0923485743478385,62.58696306726357,-1.763433173929527,-101.03727831952114
2451544.5,2511648000.0,2000-01-01 00:00:00.000,2079-08-04 00:00:00.000,26558.972981115636,0.0035804591294163737,0.4066364950930411,-1.1593805767592977,-66.42761389775094,1.1578608872808585,66.34054210446592,-0.6524062140479837,-37.38012259305807
2451544.5,2514240000.0,2000-01-01 00:00:00.000,2079-09-03 00:00:00.000,26558.238632719913,0.0035277952154786642,0.4057734952938301,-1.193378762707577,-68.37556646368832,1.2395369703068941,71.02023694901787,0.44735623859515034,25.63162441034958
2451544.5,2516832000.0,2000-01-01 00:00:00.000,2079-10-03 00:00:00.000,26558.770383267907,0.0034335922511499833,0.40510104356095816,-1.227652441295748,-70.33930359517841,1.3214811776385724,75.71529418466802,1.5511338228359406,88.87342150849256
2451544.5,2519424000.0,2000-01-01 00:00:00.000,2079-11-02 00:00:00.000,26558.12784948835,0.003322952560531053,0.4045253010966949,-1.261757772041928,-72.29339510583229,1.3730853095928965,78.67199315108698,2.6887392209799748,154.05340957344535
2451544.5,2522016000.0,2000-01-01 00:00:00.000,2079-12-02 00:00:00.000,26557.92489140515,0.0032857123523252034,0.403971774461096,-1.2956105592522638,-74.23301693773898,1.423940724349089,81.58579378200413,-2.453025528064624,-140.54800979595302
2451544.5,2524608000.0,2000-01-01 00:00:00.000,2080-01-01 00:00:00.000,26558.25312867861,0.0033193006084584363,0.4032823384834115,-1.3291106909201216,-76.15243309543979,1.4810862981211805,84.85999397699847,-1.3150032696216982,-75.34413739522716
2451544.5,2527200000.0,2000-01-01 00:00:00.000,2080-01-31 00:00:00.000,26557.423538353996,0.0033298699941848404,0.40237920650271347,-1.3629467685340435,-78.0910975379946,1.5709610691641358,90.0094390424644,-0.20644830065519237,-11.82861631519043
2451544.5,2529792000.0,2000-01-01 00:00:00.000,2080-03-01 00:00:00.000,26557.981286660637,0.003310844107309685,0.40154984858567017,-1.3973932789087284,-80.06473720141766,1.6645218722546837,95.37007818740734,0.9014902743242741,51.651587990871704
2451544.5,2532384000.0,2000-01-01 00:00:00.000,2080-03-31 00:00:00.000,26557.87807538739,0.0032065905424185736,0.4008843258310875,-1.4320605772933133,-82.05102708597506,1.7454109815312115,100.0046827575249,2.0242730112397003,115.98230012627309
2451544.5,2534976000.0,2000-01-01 00:00:00.000,2080-04-30 00:00:00.000,26557.409420700682,0.0031698251288677865,0.40040615339766256,-1.4666783857620733,-84.03448140722725,1.8057151638822764,103.45985789322822,-3.1143115298505775,-178.43690674936877
2451544.5,2537568000.0,2000-01-01 00:00:00.000,2080-05-30 00:00:00.000,26557.894377923345,0.0031939751307527567,0.39997070331805307,-1.5006181006508539,-85.9790838282317,1.8647244499974849,106.8408409397096,-1.9680763232669318,-112.76246708281985
2451544.5,2540160000.0,2000-01-01 00:00:00.000,2080-06-29 00:00:00.000,26557.130103600954,0.00327275424743636,0.3992525370221988,-1.5342404723180878,-87.90550382198444,1.955018007746884,112.01428071597093,-0.8525935847009307,-48.850014043293
2451544.5,2542752000.0,2000-01-01 00:00:00.000,2080-07-29 00:00:00.000,26557.476477376113,0.003315164011458786,0.3983914548769498,-1.5683995584291763,-89.86267528817376,2.0486512679732534,117.37907134899206,0.26055332458318214,14.928605836718576
2451544.5,2545344000.0,2000-01-01 00:00:00.000,2080-08-28 00:00:00.000,26557.971040209653,0.0032927429264574034,0.39761011393355755,-1.6031578812699376,-91.85418048990256,2.144376393934483,122.8637170599287,1.3721533767482197,78.61859733229737
2451544.5,2547936000.0,2000-01-01 00:00:00.000,2080-09-27 00:00:00.000,26557.41403133406,0.0032767867779979285,0.3970710298944768,-1.6383894167980966,-93.87279878143127,2.2070673916216093,126.45564664086544,2.5163550149422185,144.1765221127683
2451544.5,2550528000.0,2000-01-01 00:00:00.000,2080-10-27 00:00:00.000,26557.97399019053,0.003304520446930592,0.3968041388078708,-1.6731905386838226,-95.86675618780374,2.2620239101458344,129.60442320903607,-2.616804993577562,-149.93188194075282
2451544.5,2553120000.0,2000-01-01 00:00:00.000,2080-11-26 00:00:00.000,26557.477416485563,0.0034305856345221873,0.39637958511031063,-1.707126655708424,-97.81115246637546,2.3263029615918067,133.28734156799456,-1.4786329206851645,-84.71942580436213
2451544.5,2555712000.0,2000-01-01 00:00:00.000,2080-12-26 00:00:00.000,26557.55677033274,0.0035223797763486494,0.39562672609986377,-1.741044277655635,-99.75448905507095,2.405041321209339,137.79871725986249,-0.35671203121370626,-20.438093890084254
2451544.5,2558304000.0,2000-01-01 00:00:00.000,2081-01-25 00:00:00.000,26558.483909585422,0.0035649196127717424,0.3947480148436136,-1.7756142294583643,-101.73520139133801,2.494390985190459,142.91807590689274,0.7533052525529708,43.161211656321804
2451544.5,2560896000.0,2000-01-01 00:00:00.000,2081-02-24 00:00:00.000,26558.045454385207,0.0035227515417061497,0.3940706659078139,-1.8111198889928908,-103.7695258314948,2.556542768843915,146.47911079944595,1.8887399560002143,108.21682807653708
2451544.5,2563488000.0,2000-01-01 00:00:00.000,2081-03-26 00:00:00.000,26558.573665146596,0.00353263676629807,0.39382565382130885,-1.846620265423248,-105.80354757207998,2.6065722744419397,149.34559032133888,3.0327649519206576,173.76463200024972
