t0,interval,date_start,date_end,semi-major axis,eccentricity,inclination,longitude of ascending node (Ω) (rads),longitude of ascending node (Ω) (degs),argument of pericenter (ω) (rads),argument of pericenter (ω) (degs),mean anomaly (rads),mean anomaly (degs)
2451544.50000000000000000000,0.00000000000000000000,2000-01-01 00:00:00.000,2000-01-01 00:00:00.000,26562.50000000002546585165,0.00100000000000093395,1.60570291183478319752,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000,0.00000000000000000000
2451544.50000000000000000000,2592000.00000000000000000000,2000-01-01 00:00:00.000,2000-01-31 00:00:00.000,26558.51320273374585667625,0.00092274363672256233,1.60598705712088118958,0.00058911867884514667,0.03375401393014988011,-0.17081044293483896301,-9.78671747692646398775,1.21013078572566712410,69.33538668093089540889
2451544.50000000000000000000,5184000.00000000000000000000,2000-01-01 00:00:00.000,2000-03-01 00:00:00.000,26558.27687091580446576700,0.00107978272453170768,1.60641190222038887647,0.00135808161116903652,0.07781234455431271235,-0.23333845392845381506,-13.36930860820820754498,2.31518870124280917722,132.65054135758742859252
2451544.50000000000000000000,7776000.00000000000000000000,2000-01-01 00:00:00.000,2000-03-31 00:00:00.000,26561.97503071718165301718,0.00099691589555112297,1.60653278465780524620,0.00224783191377735548,0.12879128171425724414,-0.26622088585973524566,-15.25333317799684529348,-2.88888541585401492640,-165.52094182533076605068
2451544.50000000000000000000,10368000.00000000000000000000,2000-01-01 00:00:00.000,2000-04-30 00:00:00.000,26557.88036121418190305121,0.00110788425530061827,1.60622766037867648059,0.00309640622263120027,0.17741100821481334271,-0.25834700370288005145,-14.80219296202567846876,-1.84627397634334489140,-105.78370666931006383038
2451544.50000000000000000000,12960000.00000000000000000000,2000-01-01 00:00:00.000,2000-05-30 00:00:00.000,26557.59769763636722927913,0.00101932175271289343,1.60575851317731954637,0.00378748400969996981,0.21700684872909442591,-0.37788996099063887346,-21.65149988512692402765,-0.67163370633112839947,-38.48177675150261478620
2451544.50000000000000000000,15552000.00000000000000000000,2000-01-01 00:00:00.000,2000-06-29 00:00:00.000,26561.29703077510566799901,0.00117736635423908512,1.60552568980086673989,0.00433958052353937852,0.24863964885597858445,-0.46283810343206388538,-26.51866992449672366661,0.47323117801207575939,27.11414923409610366889
2451544.50000000000000000000,18144000.00000000000000000000,2000-01-01 00:00:00.000,2000-07-29 00:00:00.000,26557.21461329869634937495,0.00116477532351632164,1.60577026984984039260,0.00489144662594248863,0.28025924738001128933,-0.61717139019850886239,-35.36131589459625956806,1.69137159528234226613,96.90845399798739379094
2451544.50000000000000000000,20736000.00000000000000000000,2000-01-01 00:00:00.000,2000-08-28 00:00:00.000,26557.44203030050266534090,0.00131630953771494754,1.60627425537293433422,0.00560865815325292498,0.32135244091303105662,-0.61504919297403792822,-35.23972295033969714950,2.75586122037252057027,157.89921685111789884104
2451544.50000000000000000000,23328000.00000000000000000000,2000-01-01 00:00:00.000,2000-09-27 00:00:00.000,26560.99488932107124128379,0.00126306385542361782,1.60649884540300913471,0.00649782807280379054,0.37229812457328259612,-0.67527151273342000959,-38.69020770503959738562,-2.39751537425426830552,-137.36751226249759838538
